State,Total Observations,Unique Species,Top Species,Top Species Count,Avg Observations per Month,Avg Observations per Year,Spring Observations,Summer Observations,Fall Observations,Winter Observations,Latitude Range Min,Latitude Range Max,Longitude Range Min,Longitude Range Max
Arizona,493,35,Oecanthus californicus,139,41.083333333333336,29.0,43,185,234,31,31.3435833333,36.9815975137,-114.7686397965,-109.0783081199
California,1863,35,Oecanthus californicus,381,155.25,93.15,384,530,713,236,32.4142296733,41.9780258889,-124.3410342119,-114.220449999
Colorado,160,16,Oecanthus quadripunctatus,32,13.333333333333334,12.307692307692308,20,80,60,0,37.0458704868,40.973751,-108.7314436,-102.7447354332
Idaho,49,10,Oecanthus californicus,16,4.083333333333333,4.9,6,20,22,1,42.2868583333,47.7031543466,-117.0062255859,-111.5771484375
Kansas,86,18,Gryllus pennsylvanicus,15,7.166666666666667,7.818181818181818,4,28,54,0,37.0403197087,39.9891709722,-101.8258,-94.69307
Montana,35,6,Gryllus veletis,14,2.9166666666666665,5.0,5,14,14,2,45.0133,48.8271300914,-115.45588817,-104.5158996582
Nebraska,103,21,Gryllus pennsylvanicus,20,8.583333333333334,11.444444444444445,8,52,43,0,40.2654776877,42.8949733333,-103.8143809,-95.5789515004
Nevada,982,80,Trimerotropis pallidipennis,288,81.83333333333333,51.68421052631579,224,447,285,26,35.104743,41.9512930687,-119.9899583333,-114.05720757
New Mexico,191,24,Oecanthus,46,15.916666666666666,14.692307692307692,5,84,98,4,31.870465,36.95907009,-109.0558389545,-103.1690394322
North Dakota,30,5,Gryllus pennsylvanicus,16,2.5,2.727272727272727,0,16,14,0,46.089050293,48.562305,-103.8607253965,-96.8202473937
Oklahoma,94,24,Neocurtilla hexadactyla,17,7.833333333333333,8.545454545454545,15,28,50,1,33.7346424861,36.9324726118,-100.514137,-94.6333783333
Oregon,2276,72,Dissosteira carolina,370,189.66666666666666,126.44444444444444,26,1667,582,1,41.9932616756,46.209183,-124.4996866667,-116.57492833
South Dakota,34,9,Gryllus pennsylvanicus,11,2.8333333333333335,3.4,1,22,10,1,42.5377783333,45.8117408752,-103.4894850567,-96.4607983525
Texas,1475,59,Oecanthus californicus,146,122.91666666666667,70.23809523809524,276,434,657,108,25.8515907502,35.5776910148,-106.5257037799,-93.6932197839
Utah,1191,76,Melanoplus bivittatus,265,99.25,56.714285714285715,127,640,420,4,36.9993399574,41.9731560415,-114.0484,-109.0458894396
Washington,72,13,Oecanthus californicus,26,6.0,7.2,9,31,32,0,45.5596366667,48.6441198,-123.425195,-117.1895456864
Wyoming,469,64,Melanoplus bivittatus,118,39.083333333333336,26.055555555555557,32,336,101,0,41.0187887454,44.9911083333,-111.0096437719,-104.0733832564
